序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,
1,HTB19型变频调速异步电动机-1,HTB19,DJ0190001,机座试制，交供应部订购,2009,2009-3-1,,
2,HTB19型变频调速异步电动机-2,HTB19,DJ0190002,共1台，计划用于捷乌40DBS-1,2009,2009-3-1,,
3,HTB19型变频调速异步电动机-3,HTB19,DJ0190003,共1台，计划用于捷乌40DBS-2,2009,2009-3-1,,
4,HTB21变频调速异步电动机,HTB21,DJ0210001,共2台，计划用于陆地40DBS-2,2009,2009-3-1,,
5,HTB12B变频调速异步电动机,HTB12B,DJ12B0001,共3台，第1台准备配套油气田公司ZJ70DBS项目，后2台备用,2009,2009-3-1,2010.6月完成第1-2台生产,
6,HTB12B变频调速异步电动机,HTB12B,DJ12B0002,共3台，计划用于海洋300ft,2009,2009-3-1,2010.6月完成第1台生产,
7,HTB12B变频调速异步电动机,HTB12B,DJ12B0003,共3台，计划用于海洋300ft,2009,2009-3-1,,
8,HTB12C变频调速异步电动机,HTB12C,DJ12C0001,共3台，计划用于海洋350ft,2009,2009-3-1,,
9,HTB12C变频调速异步电动机,HTB12C,DJ12C0002,共3台，计划用于海洋350ft。12-22王信军副总通知先到2台货，12-28日从高舒处得知全部取消合同，经联系王信军副总得知王江洋副总通知后面先刹车。,2009,2009-3-1,,
10,HTB12C变频调速异步电动机,HTB12C,DJ12C0003,共3台，计划用于海洋350ft,2009,2009-3-1,,
11,HTB12C变频调速异步电动机,HTB12C,DJ12C0004,共3台，计划用于海洋350ft,2009,2009-3-1,,
12,HTB12C变频调速异步电动机,HTB12C,DJ12C0005,共3台，计划用于海洋350ft,2009,2009-3-1,,
13,HTB12C变频调速异步电动机,HTB12C,DJ12C0006,共3台，计划用于海洋350ft,2009,2009-3-1,,
14,HTB12D变频调速异步电动机,HTB12D,DJ12D0001,共3台，计划用于海洋350ft。12-22王信军副总通知先到2台货，12-28日从高舒处得知全部取消合同，经联系王信军副总得知王江洋副总通知后面先刹车。,2009,2009-3-1,,
15,HTB12D变频调速异步电动机,HTB12D,DJ12D0002,共3台，计划用于海洋350ft,2009,2009-3-1,,
16,HTB12D变频调速异步电动机,HTB12D,DJ12D0003,共3台，计划用于海洋350ft,2009,2009-3-1,,
17,HTB12D变频调速异步电动机,HTB12D,DJ12D0004,共3台，计划用于海洋350ft,2009,2009-3-1,,
18,HTB12D变频调速异步电动机,HTB12D,DJ12D0005,共3台，计划用于海洋350ft,2009,2009-3-1,,
19,HTB12D变频调速异步电动机,HTB12D,DJ12D0006,共3台，计划用于海洋350ft,2009,2009-3-1,,
20,直驱式泥浆泵电机,,HT0901,HTB12型号2台样机。2009年完成,2009,2009-3-1,,
21,备用ZJ70D-1,ZJ70D,HT0902,包括4台发电柜和SCR柜。2009.7.23完成。2010.5.24总调室（2010）第（00531）号通知启动。2010.07.29《总调室（2010）第（00807）号》通知转为油气田公司ZJ70D，宏华生产指令：X10027219,2009,2009-3-1,,
22,备用ZJ70D-2,ZJ70D,HT0903,包括4台发电柜和SCR柜。2009.7.23完成,2009,2009-3-1,张凤军负责,
23,交流变频电机试验平台-1,,HT0904,,2009,2009-3-1,,
24,交流变频电机试验平台-2,,HT0905,,2009,2009-3-1,,
25,HTB12A变频调速异步电动机-1,HTB12A,HT0906,配套伊拉克50DBS SZ50DBS08095T。2009年完成,2009,2009-3-1,,
26,HTB12A变频调速异步电动机-2,HTB12A,HT0907,配套伊拉克50DBS SZ50DBS08095T。2009年完成,2009,2009-3-1,,
27,HTB12A变频调速异步电动机-3,HTB12A,HT0908,配套伊拉克50DBS SZ50DBS08095T。2009年完成,2009,2009-3-1,,
28,HTB12A变频调速异步电动机-4,HTB12A,HT0909,（合同号：JZ100454）商务部（2010）第（00104）号通知排产1套，准备改制后配套油气田公司ZJ70DBS项目,2009,2009-3-1,,
29,HTB12A变频调速异步电动机-5,HTB12A,HT0910,准备改制后配套油气田公司ZJ70DBS项目,2009,2009-3-1,,
30,HTB12A变频调速异步电动机-6,HTB12A,HT0911,,2009,2009-3-1,,
31,HTB12A变频调速异步电动机-7,HTB12A,HT0912,,2009,2009-3-1,,
32,HTB12A变频调速异步电动机-8,HTB12A,HT0913,,2009,2009-3-1,,
33,HTB12A变频调速异步电动机-9,HTB12A,HT0914,,2009,2009-3-1,,
34,HTB12A变频调速异步电动机-10,HTB12A,HT0915,,2009,2009-3-1,,
35,HTB12A变频调速异步电动机-11,HTB12A,HT0916,,2009,2009-3-1,,
36,HTB12A变频调速异步电动机-12,HTB12A,HT0917,,2009,2009-3-1,,
37,HTB12A变频调速异步电动机-13,HTB12A,HT0918,,2009,2009-3-1,,
38,HTB12A变频调速异步电动机-14,HTB12A,HT0919,,2009,2009-3-1,,
39,HTB12A变频调速异步电动机-15,HTB12A,HT0920,,2009,2009-3-1,,
40,HTB12A变频调速异步电动机-16,HTB12A,HT0921,,2009,2009-3-1,,
41,HTB12A变频调速异步电动机-17,HTB12A,HT0922,,2009,2009-3-1,,
42,HTB12A变频调速异步电动机-18,HTB12A,HT0923,,2009,2009-3-1,,
43,HTB12A变频调速异步电动机-19,HTB12A,HT0924,,2009,2009-3-1,,
44,HTB12A变频调速异步电动机-20,HTB12A,HT0925,,2009,2009-3-1,,
