序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,
1,600KW电机项目,600KW,DW600KW07001,包括2台电机，其中1台于20090811用作备用40DBS（教学钻机）SZ40DBS09001T送广汉，另1台车间调试使用,2007,2007-3-1,,
2,远程通讯,,HT-0701,项目编号HTK08-07，DBS钻机远程传输应用软件研究及应用（即钻井设备远程维护管理系统）,2007,2007-3-1,,
3,测试平台,,HT-0702,,2007,2007-3-1,,
4,华东石油局ZJ70DBS-2,ZJ70DBS,HT-0703,,2007,2007-3-1,,
5,宏天自备ZJ50LDB-1,ZJ50LDB,HT-0704,,2007,2007-3-1,,
6,利比亚泵组,HHF1000,HT-0705,,2007,2007-3-1,,
7,印度捞砂绞车,,HT-0706,,2007,2007-3-1,,
8,川局备用ZJ70LDB-10,ZJ70LDB,HT-0708,转盘电驱备用,2007,2007-3-1,,
9,实验室,,HT-0709,项目编号HTK08-01，DBS钻机电气系统综合测试平台（调试用SCR柜1台）,2007,2007-3-1,,
10,备用ZJ70DBS,ZJ70DBS,HT-0710,,2007,2007-3-1,,
11,塔西南ZJ70D改造,ZJ70D,HT-0711,,2007,2007-3-1,,
12,约翰#17视频系统,,HT-0712,,2007,2007-3-1,,
13,美国直流钻机液位控制箱,,HT-0713,,2007,2007-3-1,,
14,展览品（司钻房）,,HT-0714,项目编号HTK08-05，司钻操作模拟系统研制,2007,2007-3-1,,
15,美国起升控制箱,,HT-0715,,2007,2007-3-1,,
16,电机试验项目,,HT-0716,项目编号HTK08-02，交流变频电机研制,2007,2007-3-1,,
17,顶驱实验项目,,HT-0717,,2007,2007-3-1,,
18,川东钻探增加视频系统,,HT-0718,,2007,2007-3-1,,
19,备用ZJ70DBS,ZJ70DBS,HT-0719,原：委内瑞拉ZJ70DBS-2 VFD房（HT-0719）、750HP-5摔坏的MCC房（不能安装发电机，拆下柜体后重新装入友信提供的发电房内）、俄罗斯欧亚ZJ50DBS-1司钻房（SZ50DBS08109T），2010-6-30总调室659号联系单转到川庆壳牌项目ZJ50DBS使用，配套宏华备用ZJ50DBS-3（SZ50DBS10007）。2010-12-10《商务部（2010）第（00729）号》JZ103450,2007,2007-3-1,2010-7-6更新,
20,美国NABORS 574-4,,HT574NA070102,,2007,2007-3-1,,
21,越南ZJ70DBS,ZJ70DBS,HT70DBSYN070302,,2007,2007-3-1,,
22,备用ZJ70LDB-8,ZJ70LDB,HT70LZPDBY070402,,2007,2007-3-1,,
23,NABORS抽屉,,HTB-0701,,2007,2007-3-1,,
24,俄罗斯20T-1,ZJ20T/1580T,SZ20T07060T,,2007,2007-3-1,,
25,华东石油局钻井工程公司ZJ50L前台升级改造ZJ50L前台升级改造,ZJ50L,SX50L07001T,,2007,2007-3-1,,
26,蓬莱PL19-3B,ZJ70DBS,SX70DBS07002T,,2007,2007-3-1,,
27,川西钻探(改造)ZJ40DBSJ-1,ZJ40DBSJ,SX40DBSJ07003T,,2007,2007-3-1,,
28,川西钻探(改造)ZJ40DBSJ-2,ZJ40DBSJ,SX40DBSJ07004T,,2007,2007-3-1,,
29,川西钻探(改造)ZJ40DBSJ-3,ZJ40DBSJ,SX40DBSJ07005T,,2007,2007-3-1,,
30,华阳石油天然气勘探开发总公司F320前场改造,ZJ70LC,SX70LC07006T,,2007,2007-3-1,,
31,俄罗斯乌拉尔西北利亚服务公司ZJ50DBS钻机改造,ZJ50DBS钻机改造,SX50DBS07007T,,2007,2007-3-1,,
32,华北油田ZJ40J-1,ZJ40J,SZ40J07001T,,2007,2007-3-1,,
33,华北油田ZJ40J-2,ZJ40J,SZ40J07002T,,2007,2007-3-1,,
34,华北油田ZJ40J-3,ZJ40J,SZ40J07003T,,2007,2007-3-1,,
35,阿联酋ETA公司ZJ50DBS-1,ZJ50DBS,SZ50DBS07004T,,2007,2007-3-1,,
36,阿联酋ETA公司ZJ50DBS-2,ZJ50DBS,SZ50DBS07005T,,2007,2007-3-1,,
37,俄罗斯欧亚钻井公司ZJ50DBS-2,ZJ50DBS,SZ50DBS07006T,,2007,2007-3-1,,
38,俄罗斯北方钻探公司ZJ50DBS-1,ZJ50DBS,SZ50DBS07007T,,2007,2007-3-1,,
39,俄罗斯北方钻探公司ZJ50DBS-2,ZJ50DBS,SZ50DBS07008T,,2007,2007-3-1,,
40,香港安润国际有限公司ZJ70D,ZJ70D,SZ70D07009T,,2007,2007-3-1,,
41,中石化华北石油局三普ZJ50L-1,ZJ50L,SZ50L07010T,,2007,2007-3-1,,
42,中石化华北石油局五普ZJ50L-2,ZJ50L,SZ50L07011T,,2007,2007-3-1,,
43,中石化(中原油田)ZJ70LDB-1,ZJ70LDB,SZ70LDB07012T,,2007,2007-3-1,,
44,中石化(中原油田)ZJ70LDB-2,ZJ70LDB,SZ70LDB07013T,,2007,2007-3-1,,
45,中石化(胜利黄河)ZJ70DBS-1,ZJ70DBS,SZ70DB07014T,,2007,2007-3-1,,
46,中石化(西南局)ZJ70DBS-2,ZJ70DBS,SZ70DB07015T,,2007,2007-3-1,,
47,中石化(西南局)ZJ70DBS-3,ZJ70DBS,SZ70DB07016T,,2007,2007-3-1,,
48,中石化(西南局)ZJ70LDB-3,ZJ70LDB,SZ70LDB07017T,,2007,2007-3-1,,
49,中石化(西南局)ZJ70LDB-4,ZJ70LDB,SZ70LDB07018T,,2007,2007-3-1,,
50,中技开ZJ50DBS-6,ZJ70DBS,SZ50DBS07019T,,2007,2007-3-1,,
51,川局ZJ50L,ZJ50L,SZ50L07020T,,2007,2007-3-1,,
52,俄罗斯北方钻探公司ZJ50DBS-3,ZJ50DBS,SZ50DBS07022T,,2007,2007-3-1,,
53,俄罗斯北方钻探公司ZJ50DBS-4,ZJ50DBS,SZ50DBS07023T,,2007,2007-3-1,,
54,俄罗斯北方钻探公司ZJ50DBS-5,ZJ50DBS,SZ50DBS07024T,,2007,2007-3-1,,
55,俄罗斯北方钻探公司ZJ50DBS-6,ZJ50DBS,SZ50DBS07025T,,2007,2007-3-1,,
56,俄罗斯北方钻探公司ZJ50DBS-7,ZJ50DBS,SZ50DBS07026T,,2007,2007-3-1,,
57,俄罗斯北方钻探公司ZJ50DBS-8,ZJ50DBS,SZ50DBS07027T,,2007,2007-3-1,,
58,俄罗斯北方钻探公司ZJ50DBS-9,ZJ50DBS,SZ50DBS07028T,,2007,2007-3-1,,
59,俄罗斯北方钻探公司ZJ50DBS-10,ZJ50DBS,SZ50DBS07029T,,2007,2007-3-1,,
